priority,collection_id
2,Bad Füssing Bayern
2,Bad Gandersheim Niedersachsen
2,Bad Gottleuba-Berggießhübel Sachsen
2,Bad Griesbach i.Rottal Bayern
2,Bad Grönenbach Bayern
2,Bad Grund Niedersachsen
2,Bad Harzburg Niedersachsen
2,Bad Heilbrunn Bayern
2,Bad Herrenalb Baden-Württemberg
2,Bad Hersfeld Hessen
2,Bad Hindelang Bayern
2,Bad Homburg vor der Höhe Hessen
2,Bad Honnef Nordrhein-Westfalen
2,Bad Hönningen Rheinland-Pfalz
2,Bad Iburg Niedersachsen
2,Bad Karlshafen Hessen
2,Bad Kissingen Bayern
2,Bad Kleinen Mecklenburg-Vorpommern
2,Bad Klosterlausnitz Thüringen
2,Bad Kohlgrub Bayern
2,Bad König Hessen
2,Bad Königshofen im Grabfeld Bayern
2,Bad Köstritz Thüringen
2,Bad Kötzting Bayern
2,Bad Kreuznach Rheinland-Pfalz
2,Bad Krozingen Baden-Württemberg
2,Bad Laasphe Nordrhein-Westfalen
2,Bad Laer Niedersachsen
2,Bad Langensalza Thüringen
2,Bad Lausick Sachsen
2,Bad Lauterberg Niedersachsen
2,Bad Liebenstein Thüringen
2,Bad Liebenwerda Brandenburg
2,Bad Liebenzell Baden-Württemberg
2,Bad Lippspringe Nordrhein-Westfalen
2,Bad Lobenstein Thüringen
2,Bad Marienberg (Westerwald) Rheinland-Pfalz
2,Bad Mergentheim Baden-Württemberg
2,Bad Münder am Deister Niedersachsen
2,Bad Münstereifel Nordrhein-Westfalen
2,Bad Muskau - Mužakow Sachsen
2,Bad Nauheim Hessen
2,Bad Nenndorf Niedersachsen
2,Bad Neuenahr-Ahrweiler Rheinland-Pfalz
2,Bad Neustadt an der Saale Bayern
2,Bad Oeynhausen Nordrhein-Westfalen
2,Bad Oldesloe Schleswig-Holstein
2,Bad Orb Hessen
2,Bad Peterstal-Griesbach Baden-Württemberg
2,Bad Pyrmont Niedersachsen
2,Bad Rappenau Baden-Württemberg
2,Bad Reichenhall Bayern
2,Bad Rippoldsau-Schapbach Baden-Württemberg
2,Bad Rodach Bayern
2,Bad Rothenfelde Niedersachsen
2,Bad Saarow Brandenburg
2,Bad Sachsa Niedersachsen
2,Bad Säckingen Baden-Württemberg
2,Bad Salzdetfurth Niedersachsen
2,Bad Salzschlirf Hessen
2,Bad Salzuflen Nordrhein-Westfalen
2,Bad Salzungen Thüringen
2,Bad Sassendorf Nordrhein-Westfalen
2,Bad Saulgau Baden-Württemberg
2,Bad Schandau Sachsen
2,Bad Schlema Sachsen
2,Bad Schmiedeberg Sachsen-Anhalt
2,Bad Schönborn Baden-Württemberg
2,Bad Schussenried Baden-Württemberg
2,Bad Schwalbach Hessen
2,Bad Schwartau Schleswig-Holstein
2,Bad Segeberg Schleswig-Holstein
2,Bad Sobernheim Rheinland-Pfalz
2,Bad Soden Hessen
2,Bad Soden-Salmünster Hessen
2,Bad Sooden-Allendorf Hessen
2,Bad Staffelstein Bayern
2,Bad Steben Bayern
2,Bad Sulza Thüringen
2,Bad Sülze Mecklenburg-Vorpommern
2,Bad Tabarz Thüringen
2,Bad Teinach-Zavelstein Baden-Württemberg
2,Bad Tennstedt Thüringen
2,Bad Tölz Bayern
2,Bad Überkingen Baden-Württemberg
2,Bad Urach Baden-Württemberg
2,Bad Vilbel Hessen
